type,affix,lang,word,trans,trans2,ref,equiv
prefix,mega ,Latin,megaphone,megaphone,megaphone,megafone,1
suffix,eer,Latin,engineer,engineer,engineer,engineer,1
infix,phob,Scottish,euphobia,euphobia,euphobia,eufobia,1
prefix,equ,Danish,equilateral,ligesidet,ligesidet,equilateral,0
prefix,trans,Irish,transferrence,transferrence,transferrence,transferrence,1
prefix,dist,Scottish,distant,aithghearrachd,aithghearrachd,distant,0
suffix,ly,Italian,simply,semplicemente,semplicemente,simply,0
prefix,counter,Hungarian,counterproposal,ellenjavaslat,ellenjavaslat,counterproposal,0
prefix,div,Latin,divide,divide,divide,divide,1
suffix,er,Finnish,dancer,tanssija,tanssija,dancer,0
prefix,tele,Latin,telekinesis,telekinesis,telekinesis,telekinesis,1
prefix,necro,Norwegian,necrophilia,nekrofili,nekrofili,necrofilia,1
suffix,ship,Spanish,ownership,propiedad,propiedad,ownership,0
prefix,aud,Icelandic,auditory,hljóðrænum,hljooraenum,auditory,0
prefix,ante,Luxembourg,antebellum,Antebellum,antebellum,antebelum,1
prefix,sym,Spanish,sympathy,condolencia,condolencia,sympathy,0
suffix,ous,Irish,fabulous,fabulous,fabulous,fabulous,1
suffix,ous,German,fabulous,Fabelhaft,fabelhaft,fabulous,0
prefix,blan,Norwegian,blanch,blanch,blanch,blanch,1
prefix,mega ,French,megaphone,mégaphone,megaphone,megafone,1
suffix,eum,Scottish,museum,taigh-tasgaidh,taigh-tasgaidh,museum,0
prefix,aqu,German,aqueous,wässrigen,wassrigen,aqueous,0
