type,affix,lang,word,trans,trans2,ref
suffix,opolis,Hungarian,metropolis,metropolis,metropolis,metropolis
prefix,demi,Dutch,demimonde,demimonde,demimonde,demimonde
prefix,equ,Catalan,equilateral,equilàter,equilater,equilateral
prefix,hyper,Luxembourgish,hypertension,Hypertonie,hypertonie,hypertension
suffix,ate,German,postulate,postulieren,postulieren,postulate
suffix,ic,Portuguese,heroic,Heroico,heroico,heroic
prefix,un,Portuguese,unresponsive,congelado,congelado,unresponsive
prefix,quad,Irish,quadruplet,quadruplet,quadruplet,quadruplet
prefix,sex,Basque,sexual,sexuala,sexuala,sexual
prefix,sym,Portuguese,symmetry,simetria,simetria,symmetry
